Sentence,Error Explanation
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"He was taller than his brother.", "Correct sentence with no errors."
"She don’t have no reason to worry.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"He was more tired than usual.", "Correct sentence with no errors."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He haven’t did his homework.", "Incorrect verb form: 'haven’t did' should be 'hasn't done'."
"They was late to the meeting.", "Incorrect verb form: 'was' should be 'were'."
"She done a good job.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have practiced a lot.", "Incorrect verb form: 'have' should be 'has'."
"He said he can’t come because he’s busy.", "Correct sentence with no errors."
"She don’t know if he will come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was more better at playing chess than his friend.", "Incorrect comparative form: 'more better' should be 'better'."
"They didn’t knew about the change.", "Incorrect verb form: 'knew' should be 'know'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"She was excited to see her friend, she hadn’t seen her in years.", "Correct sentence with no errors."
"He says he don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They was late to the party.", "Incorrect verb form: 'was' should be 'were'."
"He ate all of the cookies, didn’t he?", "Correct sentence with no errors."
"She hasn’t did her homework yet.", "Incorrect verb form: 'did' should be 'done'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"They were glad to hear from him.", "Correct sentence with no errors."
"I has a apple.", "Incorrect verb form: 'has' should be 'have'. Incorrect article: 'a' should be 'an'."
"She don't like the cake.", "Incorrect verb form: 'don't' should be 'doesn't'."
"They was going to the store.", "Incorrect verb form: 'was' should be 'were'."
"He can sings well.", "Incorrect verb form: 'sings' should be 'sing'."
"We was happy to see them.", "Incorrect verb form: 'was' should be 'were'."
"She don't know the answer, and he don't either.", "Incorrect verb forms: 'don't' should be 'doesn't' in both instances."
"The book are on the table.", "Incorrect verb form: 'are' should be 'is'."
"Me and him went to the park.", "Incorrect pronoun usage: 'Me' should be 'He' and 'him' should be 'I'."
"He's better than me at playing guitar.", "Incorrect usage: 'me' should be 'I'."
"None of the students was late.", "Incorrect verb form: 'was' should be 'were'."
"She have been there yesterday.", "Incorrect verb form: 'have' should be 'has'."
"I doesn't like that movie.", "Incorrect verb form: 'doesn't' should be used instead of 'does'."
"They goes to school every day.", "Incorrect verb form: 'goes' should be 'go'."
"Her and I went to the mall.", "Incorrect pronoun usage: 'Her' should be 'She'."
"That cat, it is very playful.", "Incorrect pronoun usage: 'it' should be omitted or replaced with 'the cat'."
"He don’t have no money.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"She runned to the store.", "Incorrect verb form: 'runned' should be 'ran'."
"They was eating dinner when I called.", "Incorrect verb form: 'was' should be 'were'."
"Me and her are planning a trip.", "Incorrect pronoun usage: 'Me' should be 'She'."
"He didn't knew the answer.", "Incorrect verb form: 'knew' should be 'know'."
"We were happy to see she.", "Incorrect pronoun case: 'she' should be 'her'."
"Every student have a book.", "Incorrect verb form: 'have' should be 'has'."
"Nobody don’t know the answer.", "Double negative: 'don’t' should be corrected to 'doesn't'."
"He said me he would come.", "Incorrect pronoun usage: 'me' should be 'to me'."
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"They was happy about the news.", "Incorrect verb form: 'was' should be 'were'."
"He was very tired, so he decided to stayed home.", "Incorrect verb form: 'stayed' should be 'stay'."
"She told I she would call me.", "Incorrect pronoun usage: 'I' should be 'me'."
"Their are many people at the party.", "Incorrect verb form: 'Their' should be 'There'."
"She walks to the store yesterday.", "Incorrect tense usage: 'walks' should be 'walked'."
"We was surprised by the results.", "Incorrect verb form: 'was' should be 'were'."
"He don’t want to go there.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have won the match.", "Incorrect verb form: 'have' should be 'has'."
"She are cooking dinner now.", "Incorrect verb form: 'are' should be 'is'."
"They have ate lunch already.", "Incorrect verb form: 'ate' should be 'eaten'."
"He is more taller than me.", "Incorrect comparative form: 'more taller' should be 'taller'."
"She sings good in the choir.", "Incorrect adverb usage: 'good' should be 'well'."
"He works at a bank, isn’t it?", "Incorrect tag question: 'isn’t it' should be 'doesn't he'."
"Me and him are friends.", "Incorrect pronoun usage: 'Me' should be 'He'."
"They doesn’t know the answer.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"The children is playing outside.", "Incorrect verb form: 'is' should be 'are'."
"He have went to the store.", "Incorrect verb form: 'have went' should be 'has gone'."
"She don't know where is it.", "Incorrect word order: 'where is it' should be 'where it is'."
"They was here yesterday.", "Incorrect verb form: 'was' should be 'were'."
"He’s the best runner then anyone.", "Incorrect comparison: 'then' should be 'than'."
"She could of gone to the party.", "Incorrect verb form: 'could of' should be 'could have'."
"He hasn’t did his homework yet.", "Incorrect verb form: 'did' should be 'done'."
"I can speaks Spanish.", "Incorrect verb form: 'speaks' should be 'speak'."
"The cat chased it's tail.", "Incorrect possessive pronoun: 'it's' should be 'its'."
"He didn’t said anything.", "Incorrect verb form: 'said' should be 'say'."
"They were happy because the news was good.", "Correct sentence with no errors."
"She done her homework.", "Incorrect verb form: 'done' should be 'did'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"I’m going to the store, and then I will buys some groceries.", "Incorrect verb form: 'buys' should be 'buy'."
"He works hard and he is a good worker.", "Correct sentence with no errors."
"She was very excited about her new job, but she didn’t told anyone.", "Incorrect verb form: 'told' should be 'tell'."
"The books is on the table.", "Incorrect verb form: 'is' should be 'are'."
"He know the answer to the question.", "Incorrect verb form: 'know' should be 'knows'."
"She have two cats and a dog.", "Incorrect verb form: 'have' should be 'has'."
"They doesn't have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn't'."
"None of the cake were left.", "Incorrect verb form: 'were' should be 'was'."
"He gave me a advice.", "Incorrect noun usage: 'a advice' should be 'an advice'."
"She runs faster than I.", "Correct sentence with no errors."
"The children was excited about the trip.", "Incorrect verb form: 'was' should be 'were'."
"He don't want to leave.", "Incorrect verb form: 'don't' should be 'doesn't'."
"She don’t know what to do.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They were glad to hear from him.", "Correct sentence with no errors."
"He don’t know nothing about it.", "Double negative: 'don’t' and 'nothing' should be corrected to 'doesn't' and 'anything'."
"She want to go to the park tomorrow.", "Incorrect verb form: 'want' should be 'wants'."
"The car needs washed.", "Incorrect verb form: 'washed' should be 'to be washed'."
"He was more late than usual.", "Incorrect comparative form: 'more late' should be 'later'."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He didn’t went to the party.", "Incorrect verb form: 'went' should be 'go'."
"They was surprised by the news.", "Incorrect verb form: 'was' should be 'were'."
"She have already finished her homework.", "Incorrect verb form: 'have' should be 'has'."
"He’s the best player on the team, isn’t he?", "Correct sentence with no errors."
"I was there yesterday, and I seen him.", "Incorrect verb form: 'seen' should be 'saw'."
"She don’t like coffee.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They doesn’t know the answer.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He told me that he is sick, but he don’t look sick.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The dog chased it's tail.", "Incorrect possessive pronoun: 'it's' should be 'its'."
"She was excited because the new movie is coming out.", "Correct sentence with no errors."
"He ate all of the cookies, didn't he?", "Correct sentence with no errors."
"She had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"He doesn’t like to do nothing on weekends.", "Double negative: 'doesn't' and 'nothing' should be corrected to 'doesn't' and 'anything'."
"She was the first to arrive at the party, but he was later than her.", "Correct sentence with no errors."
"The team are ready for the game.", "Incorrect verb form: 'are' should be 'is'."
"He didn't knew about the meeting.", "Incorrect verb form: 'knew' should be 'know'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"They doesn’t understand the problem.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"She says she is tired, but she don’t look tired.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"None of the students were absent today.", "Correct sentence with no errors."
"He said me he would come later.", "Incorrect pronoun usage: 'me' should be 'to me'."
"They was excited about the new movie.", "Incorrect verb form: 'was' should be 'were'."
"She done her homework before dinner.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She was really happy with the gift, it was a surprise.", "Correct sentence with no errors."
"He had ate dinner before the movie started.", "Incorrect verb form: 'ate' should be 'eaten'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He is the most tallest in the class.", "Incorrect comparative form: 'most tallest' should be 'tallest'."
"They went to the park yesterday, and she said it was fun.", "Correct sentence with no errors."
"She have been working here for two years.", "Incorrect verb form: 'have' should be 'has'."
"He seen the movie last night.", "Incorrect verb form: 'seen' should be 'saw'."
"They was going to the concert, but it was canceled.", "Incorrect verb form: 'was' should be 'were'."
"He don’t know where to find it.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She doesn’t like coffee or tea.", "Correct sentence with no errors."
"He was more late than expected.", "Incorrect comparative form: 'more late' should be 'later'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of the books were missing.", "Correct sentence with no errors."
"He has went to the store already.", "Incorrect verb form: 'went' should be 'gone'."
"They was not sure about the results.", "Incorrect verb form: 'was' should be 'were'."
"He can speaks Spanish very well.", "Incorrect verb form: 'speaks' should be 'speak'."
"She had wrote a letter to her friend.", "Incorrect verb form: 'wrote' should be 'written'."
"He’s the best player on the team, isn’t he?", "Correct sentence with no errors."
"She were happy to see them.", "Incorrect verb form: 'were' should be 'was'."
"None of them are here yet.", "Correct sentence with no errors."
"He didn’t know nothing about it.", "Double negative: 'didn't' and 'nothing' should be corrected to 'didn't' and 'anything'."
"She went to the store and buy some groceries.", "Incorrect verb form: 'buy' should be 'bought'."
"They is planning a trip for next month.", "Incorrect verb form: 'is' should be 'are'."
"He had already seen the movie before.", "Correct sentence with no errors."
"She didn’t said anything.", "Incorrect verb form: 'said' should be 'say'."
"He has not finished his work yet.", "Correct sentence with no errors."
"They have went to the beach.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"He was taller than his brother.", "Correct sentence with no errors."
"She don’t have no reason to worry.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"He was more tired than usual.", "Correct sentence with no errors."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He haven’t did his homework.", "Incorrect verb form: 'haven’t did' should be 'hasn't done'."
"They was late to the meeting.", "Incorrect verb form: 'was' should be 'were'."
"She done a good job.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have practiced a lot.", "Incorrect verb form: 'have' should be 'has'."
"He said he can’t come because he’s busy.", "Correct sentence with no errors."
"She don’t know if he will come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was more better at playing chess than his friend.", "Incorrect comparative form: 'more better' should be 'better'."
"They didn’t knew about the change.", "Incorrect verb form: 'knew' should be 'know'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"She was excited to see her friend, she hadn’t seen her in years.", "Correct sentence with no errors."
"He says he don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They was late to the party.", "Incorrect verb form: 'was' should be 'were'."
"He ate all of the cookies, didn’t he?", "Correct sentence with no errors."
"She hasn’t did her homework yet.", "Incorrect verb form: 'did' should be 'done'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"They were glad to hear from him.", "Correct sentence with no errors."
"She was the first to arrive at the party, but he was later than her.", "Correct sentence with no errors."
"He had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"She can speaks Spanish.", "Incorrect verb form: 'speaks' should be 'speak'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"She did not knew about the surprise.", "Incorrect verb form: 'knew' should be 'know'."
"He didn’t went to the meeting.", "Incorrect verb form: 'went' should be 'go'."
"She don’t like to do nothing on weekends.", "Double negative: 'don’t' and 'nothing' should be corrected to 'doesn't' and 'anything'."
"He had already ate dinner when I called.", "Incorrect verb form: 'ate' should be 'eaten'."
"She was happy to see her friends, she hadn’t seen them in a long time.", "Correct sentence with no errors."
"None of the students was absent today.", "Incorrect verb form: 'was' should be 'were'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of the books were missing.", "Correct sentence with no errors."
"He had went to the store already.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is it.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is it' should be 'where it is'."
"He is the most tallest in the class.", "Incorrect comparative form: 'most tallest' should be 'tallest'."
"She was happy because the new movie is coming out.", "Correct sentence with no errors."
"He ate all of the cookies, didn't he?", "Correct sentence with no errors."
"She had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"He don’t know where to find it.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She doesn’t like coffee or tea.", "Correct sentence with no errors."
"He was more late than expected.", "Incorrect comparative form: 'more late' should be 'later'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of them are here yet.", "Correct sentence with no errors."
"He didn’t know nothing about it.", "Double negative: 'didn't' and 'nothing' should be corrected to 'didn't' and 'anything'."
"She went to the store and buy some groceries.", "Incorrect verb form: 'buy' should be 'bought'."
"They is planning a trip for next month.", "Incorrect verb form: 'is' should be 'are'."
"He had already seen the movie before.", "Correct sentence with no errors."
"She didn’t said anything.", "Incorrect verb form: 'said' should be 'say'."
"He has not finished his work yet.", "Correct sentence with no errors."
"They have went to the beach.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"He was taller than his brother.", "Correct sentence with no errors."
"She don’t have no reason to worry.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"He was more tired than usual.", "Correct sentence with no errors."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He haven’t did his homework.", "Incorrect verb form: 'haven’t did' should be 'hasn't done'."
"They was late to the meeting.", "Incorrect verb form: 'was' should be 'were'."
"She done a good job.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have practiced a lot.", "Incorrect verb form: 'have' should be 'has'."
"He said he can’t come because he’s busy.", "Correct sentence with no errors."
"She don’t know if he will come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was more better at playing chess than his friend.", "Incorrect comparative form: 'more better' should be 'better'."
"They didn’t knew about the change.", "Incorrect verb form: 'knew' should be 'know'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"She was excited to see her friend, she hadn’t seen her in years.", "Correct sentence with no errors."
"He says he don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They was late to the party.", "Incorrect verb form: 'was' should be 'were'."
"He ate all of the cookies, didn’t he?", "Correct sentence with no errors."
"She hasn’t did her homework yet.", "Incorrect verb form: 'did' should be 'done'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"They were glad to hear from him.", "Correct sentence with no errors."
"She was the first to arrive at the party, but he was later than her.", "Correct sentence with no errors."
"He had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"She can speaks Spanish.", "Incorrect verb form: 'speaks' should be 'speak'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"She did not knew about the surprise.", "Incorrect verb form: 'knew' should be 'know'."
"He didn’t went to the meeting.", "Incorrect verb form: 'went' should be 'go'."
"She don’t like to do nothing on weekends.", "Double negative: 'don’t' and 'nothing' should be corrected to 'doesn't' and 'anything'."
"He had already ate dinner when I called.", "Incorrect verb form: 'ate' should be 'eaten'."
"She was happy to see her friends, she hadn’t seen them in a long time.", "Correct sentence with no errors."
"None of the students was absent today.", "Incorrect verb form: 'was' should be 'were'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of the books were missing.", "Correct sentence with no errors."
"He had went to the store already.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is it.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is it' should be 'where it is'."
"He is the most tallest in the class.", "Incorrect comparative form: 'most tallest' should be 'tallest'."
"She was happy because the new movie is coming out.", "Correct sentence with no errors."
"He ate all of the cookies, didn't he?", "Correct sentence with no errors."
"She had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"He don’t know where to find it.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She doesn’t like coffee or tea.", "Correct sentence with no errors."
"He was more late than expected.", "Incorrect comparative form: 'more late' should be 'later'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of them are here yet.", "Correct sentence with no errors."
"He didn’t know nothing about it.", "Double negative: 'didn't' and 'nothing' should be corrected to 'didn't' and 'anything'."
"She went to the store and buy some groceries.", "Incorrect verb form: 'buy' should be 'bought'."
"They is planning a trip for next month.", "Incorrect verb form: 'is' should be 'are'."
"He had already seen the movie before.", "Correct sentence with no errors."
"She didn’t said anything.", "Incorrect verb form: 'said' should be 'say'."
"He has not finished his work yet.", "Correct sentence with no errors."
"They have went to the beach.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"He was taller than his brother.", "Correct sentence with no errors."
"She don’t have no reason to worry.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"He was more tired than usual.", "Correct sentence with no errors."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He haven’t did his homework.", "Incorrect verb form: 'haven’t did' should be 'hasn't done'."
"They was late to the meeting.", "Incorrect verb form: 'was' should be 'were'."
"She done a good job.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have practiced a lot.", "Incorrect verb form: 'have' should be 'has'."
"He said he can’t come because he’s busy.", "Correct sentence with no errors."
"She don’t know if he will come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was more better at playing chess than his friend.", "Incorrect comparative form: 'more better' should be 'better'."
"They didn’t knew about the change.", "Incorrect verb form: 'knew' should be 'know'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"She was excited to see her friend, she hadn’t seen her in years.", "Correct sentence with no errors."
"He says he don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They was late to the party.", "Incorrect verb form: 'was' should be 'were'."
"He ate all of the cookies, didn’t he?", "Correct sentence with no errors."
"She hasn’t did her homework yet.", "Incorrect verb form: 'did' should be 'done'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"They were glad to hear from him.", "Correct sentence with no errors."
"She was the first to arrive at the party, but he was later than her.", "Correct sentence with no errors."
"He had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"She can speaks Spanish.", "Incorrect verb form: 'speaks' should be 'speak'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"She did not knew about the surprise.", "Incorrect verb form: 'knew' should be 'know'."
"He didn’t went to the meeting.", "Incorrect verb form: 'went' should be 'go'."
"She don’t like to do nothing on weekends.", "Double negative: 'don’t' and 'nothing' should be corrected to 'doesn't' and 'anything'."
"He had already ate dinner when I called.", "Incorrect verb form: 'ate' should be 'eaten'."
"She was happy to see her friends, she hadn’t seen them in a long time.", "Correct sentence with no errors."
"None of the students was absent today.", "Incorrect verb form: 'was' should be 'were'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of the books were missing.", "Correct sentence with no errors."
"He had went to the store already.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is it.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is it' should be 'where it is'."
"He is the most tallest in the class.", "Incorrect comparative form: 'most tallest' should be 'tallest'."
"She was happy because the new movie is coming out.", "Correct sentence with no errors."
"He ate all of the cookies, didn't he?", "Correct sentence with no errors."
"She had went to the store before I arrived.", "Incorrect verb form: 'went' should be 'gone'."
"They was happy with their results.", "Incorrect verb form: 'was' should be 'were'."
"He don’t know where to find it.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She doesn’t like coffee or tea.", "Correct sentence with no errors."
"He was more late than expected.", "Incorrect comparative form: 'more late' should be 'later'."
"She could of been the winner if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"None of them are here yet.", "Correct sentence with no errors."
"He didn’t know nothing about it.", "Double negative: 'didn't' and 'nothing' should be corrected to 'didn't' and 'anything'."
"She went to the store and buy some groceries.", "Incorrect verb form: 'buy' should be 'bought'."
"They is planning a trip for next month.", "Incorrect verb form: 'is' should be 'are'."
"He had already seen the movie before.", "Correct sentence with no errors."
"She didn’t said anything.", "Incorrect verb form: 'said' should be 'say'."
"He has not finished his work yet.", "Correct sentence with no errors."
"They have went to the beach.", "Incorrect verb form: 'went' should be 'gone'."
"She don’t know where is he.", "Incorrect verb form and word order: 'don’t' should be 'doesn't' and 'where is he' should be 'where he is'."
"He was taller than his brother.", "Correct sentence with no errors."
"She don’t have no reason to worry.", "Double negative: 'don’t' and 'no' should be corrected to 'doesn't' and 'any'."
"He was more tired than usual.", "Correct sentence with no errors."
"She eats quickly when she is hungry.", "Correct sentence with no errors."
"He haven’t did his homework.", "Incorrect verb form: 'haven’t did' should be 'hasn't done'."
"They was late to the meeting.", "Incorrect verb form: 'was' should be 'were'."
"She done a good job.", "Incorrect verb form: 'done' should be 'did'."
"He don’t want to come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"The team have practiced a lot.", "Incorrect verb form: 'have' should be 'has'."
"He said he can’t come because he’s busy.", "Correct sentence with no errors."
"She don’t know if he will come.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was more better at playing chess than his friend.", "Incorrect comparative form: 'more better' should be 'better'."
"They didn’t knew about the change.", "Incorrect verb form: 'knew' should be 'know'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"She was excited to see her friend, she hadn’t seen her in years.", "Correct sentence with no errors."
"He says he don’t want to go.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"She can sings very well.", "Incorrect verb form: 'sings' should be 'sing'."
"They was late to the party.", "Incorrect verb form: 'was' should be 'were'."
"He ate all of the cookies, didn’t he?", "Correct sentence with no errors."
"She hasn’t did her homework yet.", "Incorrect verb form: 'did' should be 'done'."
"He wanted to buy a new car, but he didn’t had enough money.", "Incorrect verb form: 'had' should be 'have'."
"They doesn’t have any idea.", "Incorrect verb form: 'doesn't' should be used instead of 'doesn’t'."
"He was more taller than his brother.", "Incorrect comparative form: 'more taller' should be 'taller'."
"They were glad to hear from him.", "Correct sentence with no errors."
"He don’t like the new rules.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was planning to go to the concert.", "Incorrect verb form: 'was' should be 'were'."
"She had already went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"He has went to the gym today.", "Incorrect verb form: 'went' should be 'gone'."
"They were not sure where to go for dinner.", "Correct sentence with no errors."
"She don’t like to watch TV.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most cleverest student in the class.", "Incorrect comparative form: 'most cleverest' should be 'cleverest'."
"They was excited about the new project.", "Incorrect verb form: 'was' should be 'were'."
"She could of been a great actress if she tried harder.", "Incorrect verb form: 'could of' should be 'could have'."
"He had already did his homework before dinner.", "Incorrect verb form: 'did' should be 'done'."
"They have went to the market already.", "Incorrect verb form: 'went' should be 'gone'."
"She was more happy than she had ever been.", "Incorrect comparative form: 'more happy' should be 'happier'."
"He don’t know where she went.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was waiting for the bus when it started raining.", "Incorrect verb form: 'was' should be 'were'."
"She don’t understand why it happened.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He has went to the store.", "Incorrect verb form: 'went' should be 'gone'."
"They were planning to go on vacation.", "Correct sentence with no errors."
"She could of won the prize if she had tried.", "Incorrect verb form: 'could of' should be 'could have'."
"He was the most tallest man in the room.", "Incorrect comparative form: 'most tallest' should be 'tallest'."
"They was excited to go on the trip.", "Incorrect verb form: 'was' should be 'were'."
"She had already finished her work before the deadline.", "Correct sentence with no errors."
"He don’t want to go to the party.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They have went to the park.", "Incorrect verb form: 'went' should be 'gone'."
"She was more excited than she had been before.", "Correct sentence with no errors."
"He had already finished his project before the meeting.", "Correct sentence with no errors."
"They was hoping for a better result.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know if he has finished.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He was the most talented musician in the orchestra.", "Correct sentence with no errors."
"They were excited about the new movie.", "Correct sentence with no errors."
"She don’t understand the new system.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already went to bed when the power went out.", "Incorrect verb form: 'went' should be 'gone'."
"They was waiting for their friend.", "Incorrect verb form: 'was' should be 'were'."
"She could of been the winner if she had entered.", "Incorrect verb form: 'could of' should be 'could have'."
"He don’t like to eat sushi.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They were planning a trip to Europe.", "Correct sentence with no errors."
"She was the most talented artist at the gallery.", "Correct sentence with no errors."
"He has went to the store already.", "Incorrect verb form: 'went' should be 'gone'."
"They was hoping to see their friends.", "Incorrect verb form: 'was' should be 'were'."
"She don’t know where he is.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"He had already did his homework before dinner.", "Incorrect verb form: 'did' should be 'done'."
"They have went to the museum.", "Incorrect verb form: 'went' should be 'gone'."
"She was more happier than she had been before.", "Incorrect comparative form: 'more happier' should be 'happier'."
"He don’t understand the instructions.", "Incorrect verb form: 'don’t' should be 'doesn't'."
"They was excited to go to the concert.", "Incorrect verb form: 'was' should be 'were'."
"She could of gone to the party if she had known about it.", "Incorrect verb form: 'could of' should be 'could have'."
